CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Ct,Avg_Utilization_Ratio,Quarter,Year
712672083,Existing Customer,65,F,0,High School,Married,Less than $40K,Blue,36,3,3,2,1438.3,747,691.3,24,0.519,none,2018
713049933,Existing Customer,47,F,1,Graduate,Married,$40K - $60K,Silver,36,5,2,2,5756,0,5756,44,0,none,2018
713049933,Existing Customer,48,F,1,Graduate,Married,$40K - $60K,Silver,48,5,6,2,5756,990,5756,25,0.17,none,2019
713135883,Existing Customer,65,F,0,College,Married,Less than $40K,Blue,65,4,5,0,4315,393,3598,73,0.09,none,2019
713135883,Existing Customer,64,F,0,College,Married,Less than $40K,Blue,53,4,3,0,4315,717,3598,51,0.166,none,2018
713220258,Existing Customer,65,F,0,College,Married,$40K - $60K,Silver,36,4,3,2,8138,2104,6034,29,0.259,none,2018
713220258,Existing Customer,64,F,0,College,Married,$40K - $60K,Silver,48,4,0,2,8138,645,6034,112,0.08,none,2019
713246208,Existing Customer,50,M,1,Graduate,Single,$40K - $60K,Silver,56,6,2,4,13364,1318,12046,54,0.099,none,2018
713246208,Existing Customer,51,M,1,Graduate,Single,$40K - $60K,Silver,68,6,6,4,13364,1305,12046,80,0.1,none,2019
713536158,Existing Customer,64,M,1,College,Married,Less than $40K,Blue,68,5,0,2,4189,422,4189,20,0.1,none,2019
713536158,Existing Customer,63,M,1,College,Married,Less than $40K,Blue,56,5,3,2,4189,0,4189,31,0,none,2018
713650683,Existing Customer,65,F,0,Graduate,Married,Less than $40K,Blue,68,4,3,4,3094,505,828,21,0.16,none,2019
713650683,Existing Customer,64,F,0,Graduate,Married,Less than $40K,Blue,56,4,1,4,3094,2266,828,37,0.732,none,2018
713757633,Existing Customer,65,F,0,College,Married,$40K - $60K,Silver,56,3,2,4,7427,1303,6124,42,0.175,none,2018
713757633,Existing Customer,64,F,0,College,Married,$40K - $60K,Silver,68,3,2,4,7427,595,6124,92,0.08,none,2019
713827383,Existing Customer,65,F,1,High School,Married,$40K - $60K,Blue,48,3,5,0,3198,1077,705,25,0.34,none,2019
713827383,Existing Customer,64,F,1,High School,Married,$40K - $60K,Blue,36,3,2,0,3198,2493,705,44,0.78,none,2018
713956308,Existing Customer,65,F,0,Graduate,Married,$40K - $60K,Blue,49,4,2,2,3297,2297,1000,56,0.697,none,2018
713956308,Existing Customer,65,F,0,Graduate,Married,$40K - $60K,Blue,61,4,2,2,3297,1162,1000,46,0.35,none,2019
714321408,Existing Customer,65,M,1,High School,Married,$40K - $60K,Blue,68,6,6,2,2246,528,920,80,0.24,none,2019
714321408,Existing Customer,65,M,1,High School,Married,$40K - $60K,Blue,56,6,2,2,2246,1326,920,32,0.59,none,2018
714460683,Existing Customer,65,M,0,High School,Married,$40K - $60K,Blue,56,3,3,5,3838,1736,2102,29,0.452,none,2018
714460683,Attrited Customer,65,M,0,High School,Married,$40K - $60K,Blue,68,3,6,5,3838,549,2102,74,0.14,Q3,2019
